epoch,train_loss,step
0,-0.0951264277100563,49
1,-0.3183606266975403,99
1,-0.23964931070804596,149
2,-0.31165072321891785,199
2,-0.2585906982421875,249
3,-0.4665117561817169,299
3,-0.4446297883987427,349
4,-0.3827722668647766,399
4,-0.36153334379196167,449
5,-0.507632851600647,499
5,-0.38077840209007263,549
6,-0.5115044713020325,599
6,-0.5137161016464233,649
7,-0.5164185762405396,699
7,-0.46571314334869385,749
8,-0.4783567190170288,799
8,-0.468955397605896,849
9,-0.4333333373069763,899
9,-0.46515053510665894,949
